name,category,phone,website,address,city,country,rating,review_count,opening_hours,description,google_maps_url,latitude,longitude,source_query,scraped_at,status
Friland VVS,Heating contractor,52 39 36 46,https://frilandvvs.dk/,"Mørkhøj Bygade 30, 2860 Søborg",Copenhagen,Denmark,,,WednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hours,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Friland+VVS/data=!4m7!3m6!1s0x465251be5927e6c9:0xbb1558f7d9ca00bd!8m2!3d55.7321633!4d12.4789467!16s%2Fg%2F11z6qsrww8!19sChIJyeYnWb5RUkYRvQDK2fdYFbs?authuser=0&hl=en&rclk=1,55.7321633,12.4789467,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:14:22+00:00,ok
Climico VVS ApS,Heating contractor,61 51 51 64,https://climicovvs.dk/?utm_source=gmb&utm_medium=organic,"Immerkær 52, 2650 Hvidovre",Copenhagen,Denmark,5.0,,Wednesday7:30 am–6 pmThursday7:30 am–6 pmFriday7:30 am–6 pmSaturdayClosedSundayClosedMonday7:30 am–6 pmTuesday7:30 am–6 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Climico+VVS+ApS/data=!4m7!3m6!1s0x4652538d890a8f8d:0x73340cf19a6cd741!8m2!3d55.6643108!4d12.46076!16s%2Fg%2F11hzs618_9!19sChIJjY8KiY1TUkYRQddsmvEMNHM?authuser=0&hl=en&rclk=1,55.6643108,12.46076,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:14:25+00:00,ok
Charles Nielsen VVS A/S,Heating contractor,38 60 51 11,https://www.charlesnielsen-vvs.dk/,"Frederikssundsvej 129B, 2700 København",Copenhagen,Denmark,3.3,,Wednesday6 am–6 pmThursday6 am–6 pmFriday6 am–6 pmSaturdayClosedSundayClosedMonday6 am–6 pmTuesday6 am–6 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Charles+Nielsen+VVS+A%2FS/data=!4m7!3m6!1s0x4652522bfe533051:0x5dab796676c75bfa!8m2!3d55.7053938!4d12.5073407!16s%2Fg%2F1wc2_vxx!19sChIJUTBT_itSUkYR-lvHdmZ5q10?authuser=0&hl=en&rclk=1,55.7053938,12.5073407,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:14:30+00:00,ok
STN Varmepumper Installation,Energy equipment and solutions,40 13 96 03,https://st-n.dk/,"Grænsevænget 12, 2791 Dragør",Copenhagen,Denmark,5.0,,Wednesday8 am–4 pmThursday8 am–4 pmFriday8 am–4 pmSaturdayClosedSundayClosedMonday8 am–4 pmTuesday8 am–4 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/STN+Varmepumper+Installation/data=!4m7!3m6!1s0x4653ab3eed3b13ed:0x58ade14dfffa945b!8m2!3d55.5952801!4d12.6678941!16s%2Fg%2F11qh422p4g!19sChIJ7RM77T6rU0YRW5T6_03hrVg?authuser=0&hl=en&rclk=1,55.5952801,12.6678941,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:14:33+00:00,ok
Js Ventilation A / S,Air conditioning contractor,43 42 20 10,https://www.js-ventilation.dk/,"Malervangen 9, 2600 Albertslund",Copenhagen,Denmark,4.2,,Wednesday7 am–3:30 pmThursday7 am–3:30 pmFriday7 am–3:30 pmSaturdayClosedSundayClosedMonday7 am–3:30 pmTuesday7 am–3:30 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Js+Ventilation+A+%2F+S/data=!4m7!3m6!1s0x465250cf375bf5df:0x3fe652262c29aef3!8m2!3d55.6759544!4d12.3934429!16s%2Fg%2F1tm09dxc!19sChIJ3_VbN89QUkYR864pLCZS5j8?authuser=0&hl=en&rclk=1,55.6759544,12.3934429,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:14:37+00:00,ok
MTN VVS Bedre-bad bedre-energi,Heating contractor,70 44 42 02,https://mtnvvs.dk/,"Svalehøjvej 5, port 18, 3650 Ølstykke",Copenhagen,Denmark,4.2,,Wednesday7 am–4 pmThursday7 am–4 pmFriday7 am–3 pmSaturdayClosedSundayClosedMonday7 am–4 pmTuesday7 am–4 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/MTN+VVS+Bedre-bad+bedre-energi/data=!4m7!3m6!1s0x46525d721d330807:0x822c40e8634c4a3c!8m2!3d55.7667084!4d12.1358407!16s%2Fg%2F11hz5qpk95!19sChIJBwgzHXJdUkYRPEpMY-hALII?authuser=0&hl=en&rclk=1,55.7667084,12.1358407,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:14:41+00:00,ok
UniCool A/S,HVAC contractor,36 36 91 00,http://www.unicool.dk/,"Lerhøj 5, 2880 Bagsværd",Copenhagen,Denmark,5.0,,Wednesday8 am–4 pmThursday8 am–4 pmFriday8 am–3:30 pmSaturdayClosedSundayClosedMonday8 am–4 pmTuesday8 am–4 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/UniCool+A%2FS/data=!4m7!3m6!1s0x46524fd3ff55cc71:0xe3016f1681c29613!8m2!3d55.7569504!4d12.4485062!16s%2Fg%2F1hc2x6pgl!19sChIJccxV_9NPUkYRE5bCgRZvAeM?authuser=0&hl=en&rclk=1,55.7569504,12.4485062,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:14:45+00:00,ok
Vilea ApS,Air conditioning contractor,70 60 30 04,http://www.vilea.dk/,"Nyholms Alle 36a, 2610 Rødovre",Copenhagen,Denmark,5.0,,Wednesday8 am–4 pmThursday8 am–4 pmFriday8 am–3 pmSaturdayClosedSundayClosedMonday8 am–4 pmTuesday8 am–4 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Vilea+ApS/data=!4m7!3m6!1s0xa2edb91f855b5713:0xb229312115a8a0f6!8m2!3d55.6747793!4d12.4442721!16s%2Fg%2F11scqvr3d1!19sChIJE1dbhR-57aIR9qCoFSExKbI?authuser=0&hl=en&rclk=1,55.6747793,12.4442721,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:14:49+00:00,ok
HJE Ventilation ApS,Heating contractor,32 52 84 43,https://www.hje.nu/,"Præstefælledvej 12, 2770 Tårnby",Copenhagen,Denmark,4.3,,Wednesday8 am–4:30 pmThursday8 am–4:30 pmFriday8 am–4:30 pmSaturdayClosedSundayClosedMonday8 am–4:30 pmTuesday8 am–4:30 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/HJE+Ventilation+ApS/data=!4m7!3m6!1s0x4653ab4a51ce574f:0xd6fd7002db446e3a!8m2!3d55.6248757!4d12.6003041!16s%2Fg%2F1tdq95pm!19sChIJT1fOUUqrU0YROm5E2wJw_dY?authuser=0&hl=en&rclk=1,55.6248757,12.6003041,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:14:53+00:00,ok
Parlock A/S,HVAC contractor,43 90 61 00,https://parlock.dk/,"Nimbusvej 5, 2670 Greve",Copenhagen,Denmark,4.2,,Wednesday8 am–4 pmThursday8 am–4 pmFriday8 am–1:30 pmSaturdayClosedSundayClosedMonday8 am–4 pmTuesday8 am–4 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Parlock+A%2FS/data=!4m7!3m6!1s0x46525817f9684d7d:0x1f2261af1d481984!8m2!3d55.607791!4d12.3015646!16s%2Fg%2F1th1b9vk!19sChIJfU1o-RdYUkYRhBlIHa9hIh8?authuser=0&hl=en&rclk=1,55.607791,12.3015646,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:14:57+00:00,ok
MPL Service,Air conditioning system supplier,42 73 41 43,https://egedal-varmepumper.dk/,"Farumvej 70, 3660 Stenløse",Copenhagen,Denmark,4.8,,Wednesday8 am–4 pmThursday8 am–4 pmFriday9 am–2 pmSaturdayClosedSundayClosedMonday8 am–4 pmTuesday8 am–4 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/MPL+Service/data=!4m7!3m6!1s0x4652521448d249a3:0x1335892dd5e2aa0e!8m2!3d55.8038439!4d12.2824073!16s%2Fg%2F11bwqmnmtb!19sChIJo0nSSBRSUkYRDqri1S2JNRM?authuser=0&hl=en&rclk=1,55.8038439,12.2824073,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:15:01+00:00,ok
Amager Sanitetsservice og Tonny Jensen VVS A/S - Bedre Bad & Bedre Energi,Heating contractor,32 50 56 00,https://bedrebad-amager.dk/?utm_source=GMB&utm_medium=organic&utm_campaign=hjemmeside,"Kirstinehøj 30, 2770 Tårnby",Copenhagen,Denmark,3.6,,Wednesday7 am–4 pmThursday7 am–4 pmFriday7 am–4 pmSaturdayClosedSundayClosedMonday7 am–4 pmTuesday7 am–4 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Amager+Sanitetsservice+og+Tonny+Jensen+VVS+A%2FS+-+Bedre+Bad+%26+Bedre+Energi/data=!4m7!3m6!1s0x4653ab1838ea5bf5:0x611244a920e7c615!8m2!3d55.6166618!4d12.6224227!16s%2Fg%2F11fk00p87w!19sChIJ9VvqOBirU0YRFcbnIKlEEmE?authuser=0&hl=en&rclk=1,55.6166618,12.6224227,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:15:06+00:00,ok
Thaysen & Co.,Heating contractor,70 20 61 06,http://varmepumpemanden.dk/,"Damhus Blvd. 104, 2610 Rødovre",Copenhagen,Denmark,4.0,,Wednesday8 am–3 pmThursday8 am–3 pmFriday8 am–3 pmSaturdayClosedSundayClosedMonday8 am–3 pmTuesday8 am–3 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Thaysen+%26+Co./data=!4m7!3m6!1s0x4652514e68ef559b:0x8445923a68925399!8m2!3d55.6663882!4d12.46076!16s%2Fg%2F1ths7z7_!19sChIJm1XvaE5RUkYRmVOSaDqSRYQ?authuser=0&hl=en&rclk=1,55.6663882,12.46076,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:15:10+00:00,ok
