name,category,phone,website,address,city,country,rating,review_count,opening_hours,description,google_maps_url,latitude,longitude,source_query,scraped_at,status
Air-Flow A / S - Ventilation,Air conditioning repair service,45 88 16 88,https://www.air-flow.dk/,"Nybrovej 65, 2820 Gentofte",Copenhagen,Denmark,4.7,,Wednesday7:30 am–4 pmThursday7:30 am–4 pmFriday7:30 am–2 pmSaturdayClosedSundayClosedMonday7:30 am–4 pmTuesday7:30 am–4 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Air-Flow+A+%2F+S+-+Ventilation/data=!4m7!3m6!1s0x46524e100e1b97bb:0xc68a0aebd7940726!8m2!3d55.7571603!4d12.5054587!16s%2Fg%2F1tfl884_!19sChIJu5cbDhBOUkYRJgeU1-sKisY?authuser=0&hl=en&rclk=1,55.7571603,12.5054587,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:13:07+00:00,ok
Daikin Denmark A/S,Air conditioning contractor,70 26 56 66,https://www.daikin.dk/,"Ringager 2B, 2605 Brøndby",Copenhagen,Denmark,4.6,,Wednesday8 am–4 pmThursday8 am–4 pmFriday8 am–3:30 pmSaturdayClosedSundayClosedMonday8 am–4 pmTuesday8 am–4 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Daikin+Denmark+A%2FS/data=!4m7!3m6!1s0x46525079c4c98ebb:0xe1989e156b982bbf!8m2!3d55.644659!4d12.3961891!16s%2Fg%2F1vnthhlj!19sChIJu47JxHlQUkYRvyuYaxWemOE?authuser=0&hl=en&rclk=1,55.644659,12.3961891,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:13:10+00:00,ok
Carbo vvs Aut,Heating contractor,26 16 37 13,https://carbovvs.dk/,"Ahornsgade 6, 2200 København",Copenhagen,Denmark,3.3,,Wednesday7:30 am–3:30 pmThursday7:30 am–3:30 pmFriday7:30 am–3 pmSaturdayClosedSundayClosedMonday7:30 am–3:30 pmTuesday7:30 am–3:30 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Carbo+vvs+Aut/data=!4m7!3m6!1s0x46525300791eaaab:0xd19f75f2c3881169!8m2!3d55.6920547!4d12.5603244!16s%2Fg%2F11ggwdsrdz!19sChIJq6oeeQBTUkYRaRGIw_J1n9E?authuser=0&hl=en&rclk=1,55.6920547,12.5603244,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:13:14+00:00,ok
KøleDanmark ApS,Air conditioning repair service,43 90 61 61,http://www.koledanmark.dk/,"Fuglebækvej 2B, 1. sal, 2770 Kastrup",Copenhagen,Denmark,4.7,,Wednesday8 am–4 pmThursday8 am–4 pmFriday8 am–3 pmSaturdayClosedSundayClosedMonday8 am–4 pmTuesday8 am–4 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/K%C3%B8leDanmark+ApS/data=!4m7!3m6!1s0x4653ab4acfa39861:0x4b084055753d1113!8m2!3d55.6248916!4d12.5961066!16s%2Fg%2F11b6v9b3xw!19sChIJYZijz0qrU0YRExE9dVVACEs?authuser=0&hl=en&rclk=1,55.6248916,12.5961066,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:13:17+00:00,ok
Amalo.dk - Varmepumper og Solceller,Green energy supplier,71 74 70 31,https://amalo.dk/,"Prags Blvd. 51, 2300 København",Copenhagen,Denmark,5.0,,,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Amalo.dk+-+Varmepumper+og+Solceller/data=!4m7!3m6!1s0x4653ab691ebfe78d:0x1661e642ca0368d7!8m2!3d55.6678839!4d12.6138401!16s%2Fg%2F11j7jpvfpg!19sChIJjee_HmmrU0YR12gDykLmYRY?authuser=0&hl=en&rclk=1,55.6678839,12.6138401,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:13:19+00:00,ok
ps-varmepumper,HVAC contractor,40 52 60 75,http://ps-varmepumper.dk/,"Højskole Alle 49, 2770 Tårnby",Copenhagen,Denmark,5.0,,Wednesday8 am–6 pmThursday8 am–6 pmFriday8 am–6 pmSaturday8 am–2 pmSundayClosedMonday8 am–6 pmTuesday8 am–6 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/ps-varmepumper/data=!4m7!3m6!1s0x4653abf43cd12a07:0x3e0575bb2b437522!8m2!3d55.6188983!4d12.6179505!16s%2Fg%2F11j4txqpc6!19sChIJByrRPPSrU0YRInVDK7t1BT4?authuser=0&hl=en&rclk=1,55.6188983,12.6179505,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:13:24+00:00,ok
Sams Indeklima,Air conditioning contractor,40 75 20 96,https://samsindeklima.dk/,"Nybrovej 149, 2800 Kongens Lyngby",Copenhagen,Denmark,5.0,,WednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hours,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Sams+Indeklima/data=!4m7!3m6!1s0x46524feb855d87f3:0xa27e5f862e75e015!8m2!3d55.7622714!4d12.4950484!16s%2Fg%2F11vbv20640!19sChIJ84ddhetPUkYRFeB1LoZffqI?authuser=0&hl=en&rclk=1,55.7622714,12.4950484,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:13:27+00:00,ok
Dansk Varme ApS,Hot water system supplier,70 26 70 16,https://danskvarme.dk/,"Tibbevangen 21, 2730 Herlev",Copenhagen,Denmark,4.3,,Wednesday8 am–5 pmThursday8 am–5 pmFriday8 am–5 pmSaturdayClosedSundayClosedMonday8 am–5 pmTuesday8 am–5 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Dansk+Varme+ApS/data=!4m7!3m6!1s0x4652501eaa36ef07:0x29ccbd3cae958cad!8m2!3d55.74968!4d12.411125!16s%2Fg%2F1thcqyxh!19sChIJB-82qh5QUkYRrYyVrjy9zCk?authuser=0&hl=en&rclk=1,55.74968,12.411125,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:13:31+00:00,ok
Østberg VVS,Heating contractor,33 31 36 57,http://www.ostberg-vvs.dk/,"Godsbanegade 10, 1722 København",Copenhagen,Denmark,3.8,,Wednesday8 am–4 pmThursday8 am–4 pmFriday8 am–1 pmSaturdayClosedSundayClosedMonday8 am–4 pmTuesday8 am–4 pm,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/%C3%98stberg+VVS/data=!4m7!3m6!1s0x46525376ba4a47b3:0x459c435b4d9b2471!8m2!3d55.6658302!4d12.5546059!16s%2Fg%2F11gzdvg72!19sChIJs0dKunZTUkYRcSSbTVtDnEU?authuser=0&hl=en&rclk=1,55.6658302,12.5546059,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:13:34+00:00,ok
Ap Køleservice ApS,Air conditioning contractor,36 77 25 22,https://apkoeleservice.dk/,"Avedøreholmen 46, 2650 Hvidovre",Copenhagen,Denmark,3.7,,WednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hours,RestaurantsHotelsThings to doTransitParkingPharmaciesATMs,https://www.google.com/maps/place/Ap+K%C3%B8leservice+ApS/data=!4m7!3m6!1s0x465255cd7ffbf855:0xaa52b095cf0edf1a!8m2!3d55.614587!4d12.4689945!16s%2Fg%2F11_fb_hnz!19sChIJVfj7f81VUkYRGt8Oz5WwUqo?authuser=0&hl=en&rclk=1,55.614587,12.4689945,Aircondition Installatør Copenhagen Denmark,2026-07-01T08:13:39+00:00,ok
